sameAs	1
Afghanistan	2
Albania	3
Algeria	4
Andorra	5
Angola	6
Anguilla	7
Antarctica	8
Arctic_Ocean	9
Argentina	a
Armenia	b
Aruba	c
Atlantic_Ocean	d
Australia	e
Austria	f
Azerbaijan	10
Bahrain	11
Bangladesh	12
Barbados	13
Belarus	14
Belgium	15
Belize	16
Benin	17
Bermuda	18
Bhutan	19
Bolivia	1a
Bosnia_and_Herzegovina	1b
Botswana	1c
Bouvet_Island	1d
Brazil	1e
British_Virgin_Islands	1f
Brunei	20
Bulgaria	21
Burkina_Faso	22
Burundi	23
Cambodia	24
Cameroon	25
Canada	26
Cape_Verde	27
Cayman_Islands	28
Central_African_Republic	29
Chad	2a
Chile	2b
China	2c
Christmas_Island	2d
Clipperton_Island	2e
Colombia	2f
Comoros	30
Cook_Islands	31
Croatia	32
Cuba	33
Cyprus	34
Czech_Republic	35
Denmark	36
Djibouti	37
Dominica	38
Dominican_Republic	39
East_Timor	3a
Ecuador	3b
Egypt	3c
El_Salvador	3d
Equatorial_Guinea	3e
Eritrea	3f
Estonia	40
Ethiopia	41
European_Union	42
Faroe_Islands	43
Fiji	44
Finland	45
France	46
French_Polynesia	47
Gabon	48
Gaza_Strip	49
Georgia	4a
Germany	4b
Ghana	4c
Gibraltar	4d
Greece	4e
Greenland	4f
Grenada	50
Guam	51
Guatemala	52
Guernsey	53
Guinea_Bissau	54
Guinea	55
Guyana	56
Haiti	57
Heard_Island_and_McDonald_Islands	58
Honduras	59
Hong_Kong	5a
Hungary	5b
Iceland	5c
India	5d
Indian_Ocean	5e
Indonesia	5f
Iran	60
Iraq	61
Ireland	62
Isle_of_Man	63
Israel	64
Italy	65
Jamaica	66
Jan_Mayen	67
Japan	68
Jersey	69
Jordan	6a
Kazakhstan	6b
Kenya	6c
Kiribati	6d
Kuwait	6e
Kyrgyzstan	6f
Laos	70
Latvia	71
Lebanon	72
Lesotho	73
Liberia	74
Libya	75
Liechtenstein	76
Lithuania	77
Luxembourg	78
Macau	79
Macedonia	7a
Madagascar	7b
Malawi	7c
Malaysia	7d
Maldives	7e
Mali	7f
Malta	80
Marshall_Islands	81
Mauritania	82
Mauritius	83
Mayotte	84
Mexico	85
Moldova	86
Monaco	87
Mongolia	88
Montenegro	89
Montserrat	8a
Morocco	8b
Mozambique	8c
Namibia	8d
Nauru	8e
Navassa_Island	8f
Nepal	90
Netherlands	91
Netherlands_Antilles	92
New_Caledonia	93
New_Zealand	94
Nicaragua	95
Niger	96
Nigeria	97
Niue	98
Norfolk_Island	99
North_Korea	9a
Korea__North	9b
Norway	9c
Oman	9d
Pacific_Ocean	9e
Pacific_Remote_Islands_Marine_National_Monument	9f
United_States_Pacific_Island_Wildlife_Refuges	a0
Pakistan	a1
Palau	a2
Panama	a3
Papua_New_Guinea	a4
Paracel_Islands	a5
Paraguay	a6
Peru	a7
Philippines	a8
Pitcairn_Islands	a9
Poland	aa
Portugal	ab
Puerto_Rico	ac
Qatar	ad
Romania	ae
Russia	af
Rwanda	b0
Saint_Helena	b1
Saint_Kitts_and_Nevis	b2
Saint_Lucia	b3
Saint_Vincent_and_the_Grenadines	b4
Samoa	b5
San_Marino	b6
Saudi_Arabia	b7
Senegal	b8
Serbia	b9
Seychelles	ba
Sierra_Leone	bb
Singapore	bc
Slovakia	bd
Slovenia	be
Solomon_Islands	bf
South_Africa	c0
South_Korea	c1
Korea__South	c2
Southern_Ocean	c3
Spain	c4
Spratly_Islands	c5
Sri_Lanka	c6
Sudan	c7
Suriname	c8
Svalbard	c9
Swaziland	ca
Sweden	cb
Switzerland	cc
Syria	cd
Taiwan	ce
Tajikistan	cf
Tanzania	d0
Thailand	d1
Togo	d2
Tokelau	d3
Tonga	d4
Trinidad_and_Tobago	d5
Tunisia	d6
Turkey	d7
Turkmenistan	d8
Turks_and_Caicos_Islands	d9
Tuvalu	da
Uganda	db
Ukraine	dc
United_Arab_Emirates	dd
United_Kingdom	de
United_States	df
Uruguay	e0
Uzbekistan	e1
Vanuatu	e2
Venezuela	e3
Vietnam	e4
Virgin_Islands	e5
Wake_Island	e6
Wallis_and_Futuna	e7
West_Bank	e8
Western_Sahara	e9
World	ea
Yemen	eb
Zambia	ec
Zimbabwe	ed
spokenIn	ee
Akkala_Sami_language	ef
Algerian_Arabic	f0
Arakanese_language	f1
Burma	f2
Archi_language	f3
Armenian_language	f4
Aymara_language	f5
Bambara_language	f6
Cote_dIvoire	f7
Bari_language	f8
Bashkir_language	f9
Belarusian_language	fa
Chechen_language	fb
Chewa_language	fc
Chilean_Spanish	fd
Chulym_language	fe
Croatian_language	ff
Czech_language	100
Danish_language	101
Domari_language	102
Ewe_language	103
Fox_language	104
Gagauz_language	105
Garhwali_language	106
Greek_language	107
Guern_5Cu00E9siais	108
Gujarati_language	109
Hadhrami_Arabic	10a
Hadza_language	10b
Hill_Mari_language	10c
Hindi	10d
Hokkien	10e
Icelandic_language	10f
Italian_language	110
J_5Cu00E8rriais	111
Jamaican_Patois	112
Japanese_language	113
Jingpho_language	114
Judaeo_Spanish	115
Kabyle_language	116
Kankanaey_language	117
Karay_a_language	118
Kayeli_language	119
Kensiu_language	11a
Khwarshi_language	11b
Kinyarwanda	11c
Konkani_language	11d
Kutchi_language	11e
Kyrgyz_language	11f
Leonese_dialect	120
Levantine_Arabic	121
Libyan_Arabic	122
Lou_language	123
Low_German	124
M_5Cu0101ori_language	125
Makassarese_language	126
Manipuri_language	127
Marathi_language	128
Middle_Mongol_language	129
Mossi_language	12a
Nepali_language	12b
Ni_5Cu00E7ard_dialect	12c
Old_High_German	12d
Paha_language	12e
Panare_language	12f
Poqomchi__language	130
Pothohari_dialect	131
Punjabi_language	132
Ramree_dialect	133
Riograndenser_Hunsr_5Cu00FCckisch_German	134
Sabaean_language	135
Saintongeais_dialect	136
Saraiki_dialect	137
Serbo_Croatian	138
Shenwa_language	139
Shipibo_language	13a
Slovak_language	13b
Soqotri_language	13c
Sundanese_language	13d
Swedish_language	13e
Swiss_French	13f
Tagalog_language	140
Tai_Bueng	141
Takuu_language	142
Tatar_language	143
Thai_language	144
Tigre_language	145
Torlakian_dialect	146
Tunisian_Arabic	147
Tuscarora_language	148
Ubykh_language	149
Uzbek_language	14a
Valencian	14b
Venetic_language	14c
Walloon_language	14d
Western_Lombard_dialect	14e
Yemeni_Arabic	14f
Yiddish	150
Yoruba_language	151
