brother	1
ali1	2
fatma	3
ismail	4
mehmet1	5
neriman	6
nesrin	7
ali2	8
mete	9
sevcan	a
alp	b
batuhan	c
anil	d
secil	e
cagdas	f
melis	10
erdem	11
nida	12
halis	13
murat2	14
murat1	15
mediha2	16
sadullah	17
firdevs	18
yildirim	19
yusuf2	1a
dilber	1b
yusuf3	1c
zeynep	1d
daughter	1e
ayse	1f
dilek	20
cemile	21
esra	22
sibel	23
mediha1	24
yusuf1	25
huseyin	26
kubra	27
ayten	28
nalan	29
muhammer	2a
levent	2b
mehmet2	2c
bedriye	2d
elti	2e
father	2f
gunay	30
muhittin	31
yavuz	32
recep	33
husband	34
mother	35
person	36
sister	37
son	38
wife	39
